"County","State","pct_more_65y","pct_less_18y","pct_high_school","pct_asian","pct_black","pct_latino","pct_white","pct_homeownership","households","housing_units","median_value_occupied_units","pers_houshold","median_household_income","income_capita","land_area","lang_other_eng","living_same_house","mean_travel_time_work","pct_female","veterans","pop_2020","pop_2010","pop_square_mile","retail_sales","total_firms","party","diff_Biden_Trump"
"Cleveland County","AR",21.4,21.6,89.6,0.2,11.5,2.5,84.3,76,3217,4142,97100,2.5,46684,24225,597.78,1,94.9,31.2,50.5,489,7550,8689,14.5,13374,470,"REP",-2216
"Cleveland County","NC",19,21.9,84.2,1.1,20.8,3.8,72.8,67.8,35638,43767,120100,2.68,42247,22589,464.25,4.3,87.2,24.7,51.9,6044,99519,98078,211.3,962137,6725,"REP",-16843
"Cleveland County","OK",13.8,21.2,91.8,4.7,5.5,9.2,70.8,63.7,106172,117076,165600,2.52,64016,31571,538.77,10.3,80.5,23.6,50.1,21005,295528,255755,474.7,3168930,23052,"REP",-16850
"Clinch County","GA",16.8,25.1,69.2,0.4,27.6,5.8,64.4,74.9,2477,3018,61000,2.51,27658,15152,800.22,3.3,88.6,16.9,51.7,219,6749,6798,8.5,44688,406,"REP",-1361
"Clinton County","IA",19.9,22.7,90.9,0.7,3.1,3.3,90.9,73.3,19635,22226,118100,2.35,51688,28483,694.92,1.9,86.2,19.8,50.9,3555,46460,49116,70.7,652109,4284,"REP",-2549
"Clinton County","IL",18,21.1,90.1,0.6,3.7,3.2,91.2,79.6,14353,16003,146200,2.47,66639,31783,474.09,4.1,90.2,26.5,48.2,2872,36899,37762,79.7,425943,2724,"REP",-9811
"Clinton County","IN",16.8,26.1,85.7,0.5,0.8,16.5,81.4,70.6,12033,13423,111500,2.63,54286,24489,405.07,12.7,89,22.4,50.2,1721,33190,33224,82,239143,2233,"REP",-5973
"Clinton County","KY",19.7,22.2,73.2,0.3,0.6,2.9,94.9,69.5,3985,5331,72800,2.52,32184,21019,197.25,3.1,93,17.6,50.9,631,9253,10272,52.1,59416,978,"REP",-3677
"Clinton County","MI",17.5,22.1,94.5,1.6,2.1,4.6,89.5,80,29728,32155,172800,2.61,70390,34761,566.41,4.3,89.8,24.6,50.7,4668,79128,75382,133.1,749244,6485,"REP",-3130
"Clinton County","MO",18.2,23.2,92,0.5,1.4,2.3,93.3,76.4,8177,9087,159700,2.45,62701,29081,418.96,1.5,86.5,32.7,50,1728,21184,20743,49.5,158016,1643,"REP",-4903
"Clinton County","NY",17.7,17.9,87.6,1.4,4.4,3,90,66.5,31301,36835,134100,2.33,56365,27761,1037.85,5.6,82.8,19.3,48.6,5821,79843,82128,79.1,1385341,5155,"DEM",1850
"Clinton County","OH",17.6,22.8,88.3,0.6,2.2,1.7,93.3,64.6,16528,18229,128400,2.46,52815,26690,408.68,2.2,86,26.7,50.6,3042,42018,42040,102.9,443085,3277,"REP",-10791
"Clinton County","PA",19.2,19.9,89.3,0.7,1.7,1.6,94.9,70.2,14690,19298,136600,2.54,50923,25794,887.98,6.3,86.9,24.1,50.9,2895,37450,39238,44.2,582590,2623,"REP",-6400
"Cloud County","KS",21.6,23.2,93,1.2,1.1,3.4,92.5,72.9,3689,4593,75800,2.33,45373,27279,715.34,3.7,83.7,15.9,50.4,590,9032,9533,13.3,136515,1053,"REP",-2289
"Coahoma County","MS",16,27,79.5,0.5,77.6,1.7,19.9,50.6,8782,10708,68300,2.56,29121,18985,552.44,1.4,85.5,20.8,53.7,998,21390,26151,47.3,295392,2075,"DEM",3645
"Coal County","OK",21,23.7,82.7,0.3,0.9,4.4,67.7,74,2227,2821,83800,2.48,40938,24055,516.68,4.1,88.3,25.4,50.1,353,5266,5925,11.5,41864,532,"REP",-1717
"Cobb County","GA",12.7,23.3,92.1,5.6,28.8,13.3,51.1,64.5,280374,304819,253900,2.64,77932,40031,339.55,20.9,83.9,31.9,51.5,41345,766149,688078,2026.4,10368694,80947,"DEM",56411
"Cochise County","AZ",23.1,21.4,87.4,2.3,4.5,35.7,54.8,68.9,50163,61601,146800,2.34,49260,26819,6165.69,28.3,83.7,20.7,49.4,18217,125447,131346,21.3,1267266,8545,"REP",-11825
"Cochran County","TX",16.4,26.8,67.7,0.5,4.4,60.9,33.7,78.4,998,1352,38800,2.78,40962,21463,775.15,46.1,81.1,26.9,49.3,92,2547,3127,4,50218,309,"REP",-632
"Cocke County","TN",21.6,20.2,80.1,0.5,2.1,2.6,92.9,67.1,14060,17664,112900,2.5,36716,21867,434.57,2.1,92,28.1,51.5,2822,35999,35662,82.1,340991,2098,"REP",-9629
"Coconino County","AZ",13,20,90.5,2.1,1.5,14.3,54.1,61,47447,67504,280900,2.67,59460,27339,18618.89,24,76.9,18.6,50.7,7342,145101,134421,7.2,1896542,10934,"DEM",17646
"Codington County","SD",18.3,23.7,91.5,0.7,0.8,2.4,92.5,65.3,12075,13352,174500,2.27,56376,30043,688.5,2.4,85.5,14.8,49.8,2266,28325,27227,39.5,649066,2955,"REP",-5121
"Coffee County","AL",17.3,23.7,85.9,1.7,17.6,8,69.4,65.7,19924,23403,147400,2.56,55637,27806,678.97,6.4,82.2,22.7,50.8,6285,53465,49948,73.6,610054,3690,"REP",-11823
"Coffee County","GA",14.1,24.4,75.7,0.9,28.8,12.1,57.3,63.1,14438,17422,100600,2.71,40859,19905,575.1,12.2,90,19.8,48.6,2058,43092,42356,73.7,487511,3684,"REP",-6067
"Coffee County","TN",17.4,24,85.4,1.2,4,4.7,88,68.1,21646,24490,141900,2.52,50351,26557,428.96,3.4,84,23.7,51.2,4199,57889,52796,123.1,827639,4824,"REP",-12178
"Coffey County","KS",21.9,21.8,92.7,1,0.9,2.8,93,75.9,3585,4148,119100,2.27,59583,33371,626.95,1,85.1,21.9,50.6,785,8360,8601,13.7,111354,929,"REP",-2479
"Coke County","TX",28,20.9,83.7,0.1,1,22.1,74.2,74.1,1644,2736,69100,1.95,45000,25285,911.47,10.8,87.9,21.4,50,199,3285,3320,3.6,32379,406,"REP",-1408
